AGEP,SEX,SCHL,MAR,OCCP,WKHP,COW,CIT,RAC1P,DIS,HICOV,NATIVITY,income_label
12,1,8,5,4120,40,1,1,1,2,1,1,0
58,2,21,3,440,50,4,4,1,2,1,2,0
51,2,19,4,3870,40,3,1,1,1,1,1,0
20,1,20,5,6050,40,6,1,1,2,1,1,0
52,2,20,1,5740,40,1,1,1,2,1,1,0
18,1,14,5,4120,40,1,1,1,2,1,1,0
69,2,17,1,4120,40,1,1,1,1,1,1,0
37,1,14,1,5510,40,1,1,1,2,1,1,0
32,2,22,1,1320,40,1,1,1,2,1,1,1
31,1,16,1,9620,42,1,1,1,2,1,1,0
39,2,19,1,5740,40,1,1,1,2,1,1,0
73,2,14,5,4120,40,1,1,2,1,1,1,0
72,1,19,3,6441,40,1,1,1,2,1,1,0
61,2,17,1,4120,40,1,1,1,2,1,1,0
12,1,9,5,4120,40,1,1,2,2,1,1,0
80,1,24,1,4120,40,1,1,1,2,1,1,1
49,2,18,1,4120,40,1,1,8,2,1,1,0
52,2,20,1,5860,40,1,1,1,2,1,1,0
6,1,3,5,4120,40,1,1,9,2,1,1,0
20,2,19,1,4020,10,1,1,1,2,1,1,0
76,2,23,1,4120,40,1,1,1,2,1,1,0
59,1,16,1,4120,40,1,1,2,2,2,1,0
29,1,21,5,3323,40,2,1,2,2,1,1,0
64,2,18,3,20,40,2,1,9,2,1,1,1
27,2,19,1,3310,32,1,1,1,2,1,1,0
34,1,22,1,1240,40,1,4,1,2,1,2,1
5,1,2,5,4120,40,1,1,9,2,1,1,0
77,1,16,1,9645,21,1,1,1,2,1,1,0
50,1,16,1,8990,60,1,1,1,2,1,1,1
54,1,19,1,7700,45,1,1,1,2,1,1,0
70,1,19,1,4760,32,1,1,1,2,1,1,1
31,2,21,1,2320,40,3,1,1,2,1,1,0
60,2,16,3,2300,50,1,1,2,2,1,1,0
48,2,21,3,7700,40,1,1,1,1,1,1,0
58,2,22,1,630,40,5,1,1,2,1,1,1
30,1,16,5,7200,55,1,1,1,2,2,1,1
58,1,18,1,6355,48,1,1,1,2,1,1,1
47,2,1,5,4850,30,6,5,8,2,1,2,0
41,1,21,1,1320,40,1,1,1,2,1,1,1
31,2,20,5,3255,40,2,1,2,2,1,1,1
24,1,16,5,6260,40,6,1,8,2,1,1,0
48,2,19,3,10,40,1,1,1,2,1,1,1
45,1,24,1,3258,48,2,1,1,2,1,1,1
42,2,21,1,2360,10,6,1,1,2,1,1,0
18,1,18,5,2350,15,4,1,1,2,1,1,0
62,2,23,3,2100,40,1,1,1,1,1,1,1
13,2,10,5,4120,40,1,1,1,2,1,1,0
26,2,21,1,2310,40,4,1,1,1,1,1,0
7,1,3,5,4120,40,1,1,9,2,1,1,0
55,1,22,1,2002,24,2,1,1,2,1,1,0
